proverbs ,meaning
"Èyí tó yẹ ará iwájú, èrò ẹ̀hìn fiyè sílẹ̀. ",Learn from the examples of others.
Ẹ̀bẹ̀ là ń bẹ òṣìkà pé kó tún ìlú-u rẹ̀ ṣe. ,Gentle pleas are the only likely means of getting contrary people to do what is right.
"Ẹbọ díẹ̀, oògùn díẹ̀, ní ń gba aláìkú là.",One should not place all one’s faith in a single solution to a problem.
Ẹbọ ẹnìkan là ń fi ẹnìkan rú. ,Extraordinary problems demand extraordinary solutions.
Ẹ̀ẹ̀kan lejò ń yánni. ,The same disaster does not befall one more than once; after the first time one learns to avoid it.
Ẹ̀fẹ́-ẹ́ dẹ̀fẹ̀ iyán; a paláwẹ́ ẹ̀kọ baálé ilé ní ẹ̀ ń pèun bí? ,A person who wants something badly will not let a little teasing put him or her off taking it. 
Ẹ̀fẹ́-ẹ́ dẹ̀fẹ̀ iyán; ò báà gbémi lulẹ̀ n ó bàá ọ jẹun. ,No amount of teasing will stop me from doing what I have in mind. 
Ẹgbẹ́ ẹni kì í wọ́n láyé ká wá a lọ sọ́run.,"If one cannot find what one wants, one should learn to do without it."
Ẹjọ́ a-f ni-lóbìnrin là ń wí; a kì í wíjọ́ a-f ni-lómọ. ,One should not pursue causes without good grounds.
"Ẹlẹ́dẹ̀ẹ́ ní ọjọ́ tí òun ti jágbọ́n-ọn hùn, ọjọ́ náà ni ọ̀rọ̀ ò ti nìun lára mọ́. ",A person who says nothing seldom gets in trouble. 
Ẹlẹ́jọ́ ṣa èyí tó wù ú wí. ,One should concentrate on one’s most pressing problems.
Ẹlẹ́nu-ú tóó rí sá. ,Be wary of loquacious people.
Ẹni à ń wò kì í wòran. ,One should not ignore one’s problems to dwell on those of others.
"Ẹni a óò gbé òkú-u rẹ̀ sin, a kì í sọ pé ó ń rùn pani. ",One should not run down a person or thing that will eventually devolve to one’s care.
Ẹni a pé kó wáá wo kọ̀bì: ó ní kí nìyí kọ́bi-kọ̀bi? ,One should not waste one’s breath expressing the obvious.
Ẹni a wí fún ko gbọ́; ẹni a fọ̀ fún kó gbà; èyí tí ò gbọ́ yó filẹ̀ bora. ,Refusal to heed advice can be deadly.
Ẹni àìgbọ́n pa ló pọ̀; ẹni ọgbọ́n pa ò tó nǹkan.,Few things kill more surely than folly.
Ẹní bá ríkun nímú ọlọ́jà ní ń fọn ọ́n. ,Tactless or indiscreet people usually rue their bad judgment. 
Ẹní bá tó ẹni-í gbà là ń ké pè. ,Do not seek the aid of feckless people.
"Ẹní du ara-a rẹ̀ lóyè Apènà: kó tó jẹ ẹran ọ̀f , ó dọ̀run. ","If one does not grab opportunities when they present themselves, one is in for a difficult life."
Ẹní gbọ́n juni lọ ní ń tẹni nÍfá. ,Take advice only from those qualified to offer it.
Ẹní léku méjì á pòfo.,One who pursues two or more objectives at once is likely to achieve neither. 
Ẹní máa ké ìbòsí á pa baba-a rẹ̀ jẹ. ,Whoever acts without cause will have to justify his action by manufacturing a cause.
Ẹní rúbọ òrìṣà-á gbọ́dọ̀ rú ti èèyàn kí ẹbọ-ọ́ tó gbà. ,One can please the gods and yet run afoul of humans.
Ẹni tí a bá fi orí-i rẹ̀ fọ́ àgbọn ò níí jẹ níbẹ̀. ,Whoever takes foolhardy risks in pursuit of an end seldom lives to enjoy it.
"Ẹni tí a bá ń bá nájà là ń wò, a kì í wo ariwo ọjà. ",One should keep mind on one’s business and leave extraneous matters aside.
"Ẹni tí a wífún kó gbọ́; ẹni tí kò gbọ́, tara-a rẹ̀ ni yó dà. ",Those who refuse instruction lay the foundation for their own ruin.
Ẹni tí ẹ̀gún gún lẹ́sẹ̀ ní ń ṣe lákáǹláká tẹ̀lé alábẹ́rẹ́ . ,The person in need of help should make some effort in his own behalf and not expect the helper to make all the necessary effort.
Ẹni tí kò gbọ́n lààwẹ̀ ń gbò. ,The resourceful person can find a way around any difficulty.
Ẹni tí kò mọ iṣẹ́-ẹ́ jẹ́ ní ń pààrà lẹ́ẹ̀mejì.,One saves time and effort by doing things right the first time.
Ẹni tí kò mọ ọba ní ń fọba ṣeré. ,The wise person recognizes potential danger and avoids it.
Ẹni tí ó lè jà ni yóò kúnlẹ̀ kalẹ́ . ,The person who cannot stay out of a fight will spend his or her time incessantly stating cases.
"Ẹni tí yó bọ Ògún, yó ra ọjà-a tirẹ̀ lọ́tọ̀. ","If one’s priorities are incompatible with those of others, one parts company with them."
Ẹni tí yó fò yó bẹ̀rẹ̀. ,One must make adequate preparations for any project.
"Ẹni tí yó mu ẹ̀kọ fòrò, yó bàá ọmọ ẹlẹ́kọ ṣeré. ",One must ingratiate oneself with the person from whom one expects a favor. 
Ẹni tí yó mu ẹ̀kọ ọ̀fẹ́ yó bàá ọmọ ẹlẹ́kọ ṣeré. ,Nothing comes free. 
"Ẹni tí yó ṣòwò àlè, ẹní-i rẹ̀ ní ń ká; ẹni tí yó ṣòwò-o Ṣàngó, ààjà-a rẹ̀ ní ń rà. ",One prepares according to what is proper for one’s chosen trade.
"Ẹni tí yó yàáni lówó, tí kò níí sinni, ohùn ẹnu-u rẹ̀ la ti ń mọ̀. ",The way people talk is a good indication of their character.
Ẹni tó bá da omi síwájú á tẹ ilẹ̀ tútù. ,The future will look kindly on those who look well to the future. 
"Ẹni tó bá fi ojù àná wòkú, ẹbọra a bọ́ ọ láṣọ.","One behaves toward people according to the heights they have attained, not according to the way they used to be."
Ẹni tó bá máa jẹ ọ̀pọ̀lọ́ a jẹ èyí tó lẹ́yin. ,"If one must suffer, one might as well do so with panache."
"Ẹni tó bá máa lu òṣùgbó a lu ńlá; kékeré ẹgbẹ̀fà, ńlá ẹgbẹ̀fà. ","If the penalty for a small offense is the same as that for a grievous one, one might as well throw all caution to the wind."
Ẹni tó bá máa mú ọ̀bọ a ṣe bí ọ̀bọ. ,"To succeed against an adversary, or with a person one desires, one must suit one’s approach to the other’s ways."
Ẹni tó bá mọ ìdí ọ̀ràn tẹ́lẹ̀ ní ń bu àbùjá èké. ,Prior knowledge is the surest weapon against lies.
"Ẹni tó bá ní igbà-á lò, bí igbà-á bá já, kó dúró so ó. ",One must make time to attend to necessary chores.
"Ẹni tó bá pẹ́ lórí imí, eṣinṣin kéṣinṣin yó ò bá a níbẹ̀. ",Nothing good comes of dawdling over what one must do.
"Ẹni tó bá rántí Efuji, kó má fi ore ṣe ẹṣin.",Remember those who have caused you injury and remember to show them no favor.
Ẹni tó bá rántí ọjọ́ ní ń ṣe ọmọ òkú pẹ̀lẹ́ ; ta ní jẹ́ ṣe ọmọ eégún lóore? ,"When a good person dies, the survivors inherit the good will of those who remember him or her well."
Ẹni tó bá sọ pé ẹsẹ̀ eégún ń hàn ní ń wá abẹ́rẹ́ lọ. ,Some sights the eyes must not acknowledge seeing.
"Ẹni tó bá yá ìwọ̀fà ẹgbàá, tòun tirẹ̀ ní ńlọ ata kúnná. ",Whatever comes too cheaply is sure to work unsatisfactorily. 
Ẹni tó dùbúlẹ̀-ẹ́ ṣe oògùn ìjàkadì tán. ,The wise person forestalls problems.
"Ẹni tó fi irun dúdú ṣeré, yó fi funfun sin ẹniẹlẹ́ni. ","If one wastes one’s youth, one spends one’s old age struggling for a living."
"Ẹni tó fi owó-o rẹ̀ ra ẹṣin, kò níí jẹ́ kó ṣe àrìnjẹ́ . ",One guards one’s treasures jealously.
"Ẹni tó gbajúmọ̀ tí kò mọ èèyàn-án kí, òun òbúrẹ́wà ẹgbẹ́ra. ",Good looks without the social graces amount to nothing.
"Ẹni tó máa t òkú ọ̀pọ̀lọ́, yó nìí ilé ògbóni tirẹ̀ lọ́tọ̀. ",Whoever wishes to do the absurd should not expect the cooperation or approval of others.
"Ẹni tó máa yáni lẹ́wù, ti ọrùn-un rẹ̀ là ń wò. ",One should be discriminating about those from whom to accept favors.
"Ẹni tó mi kùkùté, ara-a rẹ̀ ní ń mì. ",Whoever takes on an invincible adversary fashions his or her own defeat.
"Ẹni tó mọ ẹtu ní ń kì í ní ‘‘òbèjé, ẹlẹ́sẹ̀ ọwọ̀.",Only those deeply involved in a profession are versed in its jargon.
"Ẹni tó ńṣáp fún wèrè jó, òun àti wèrè ọ̀kan-ùn. ",Whoever joins the imbecile’s games is himself or herself an imbecile.
Ẹni tó pa kẹ́tẹ́kẹ́tẹ́ yó ru káyá ẹrù. ,Whoever is careless with his or her resources will pay dearly in the future.
Ẹni tó ránṣẹ́ sí orò-ó bẹ̀wẹ̀ fún àìsùn. ,(Whoever deliberately provokes trouble should be prepared for a difficult time.
"Ẹni tó re Ìbàdán tí kò dé ilé Olúyọ̀lé, oko igi ló lọ. ",Whoever misses the principal sight of any place might as well not have visited the place at all.
"Ẹni tó rúbọ tí kò gba èèwọ̀, bí ẹni tó fi owó ẹbọ ṣòfò ni. ",A person who knows the remedy but does not apply it is as badly off as the person who does not know the remedy at all.
"Ẹni tó sọ ẹlẹ́dẹ̀ lékùrọ́, oúnjẹ ló fún un. ",One does not douse a fire by throwing oil on it.
Ẹni tó torí òtútù fi ọmọrí odó yáná ò gbọdọ̀ retí a-ti-jẹyán. ,One should not jeopardize one’s longterm interests by indulging in immediate gratifications.
"Ẹnu àìm nu, ètè àìmétè, ní ń mú ọ̀ràn bá ẹ̀rẹ̀kẹ́ . ",The words that the mouth and lips allow to escape usually bring the slap to the cheek; a person who cannot keep his or her mouth shut often lands in trouble.
Ẹnu ehoro ò gba ìjánu.,Do not adopt an inappropriate remedy for a problem.
Ẹ̀rẹ̀kẹ́ ni ilé ẹ̀rín.,Suit the means to the project.
Ẹ̀rù bíbà ní múni pe àjẹ́ ní ará ire. ,It is wise to curry the favor of fearful or malicious people.
Ẹrù-u hòo kì í wọni lọ́rùn. ,"Saying one agrees, even when one does not, spares one a great deal of headache. "
Ẹ̀sín alátọ̀sí ò sí lọ́wọ́ òkóbó. ,Do not ridicule a person whose condition is no worse than yours.
Ẹyẹ igbó kì í mọ fífò ọ̀dàn. ,"In a strange environment, one becomes a dunce."
"Ẹyẹ ń wá àtifò, wọ́ ń sọ òkò sí i. ",One needs little encouragement to do what one is determined to do anyway; being forced to do what one wishes to do anyway is no punishment.
Fi ìjà fún Ọlọ́run jà; fọwọ́ lérán. ,Leave those who have injured one to God’s judgment and punishment.
Fimí-pamọ́-kí-n pa-ọ́ làrùn ń jẹ́ . ,A concealed disease is a deadly thing.
‘‘Gba ọmọ fún mi kí n rèdí’’; bí ìdí ò bá ṣe-é re ká gbọ́mọ fọ́lọ́mọ. ‘,One should not place oneself in difficulty in order to help others out of difficulty.
"Gbogbo ẹranko ìgbẹ́ pé, wọn ní àwọn ó fi ìkokò ṣe aṣípa; nígbà tó gbọ́ inú ẹ̀-ẹ́ dùn; ṣùgbọ́n nígbà tó ṣe ó bú sẹ́kún; wọ́n ní kí ló dé? Ó ní bóyá wọ́n lè tún ọ̀ràn náà rò kí wọ́n ní kì í ṣe bẹ́ẹ̀ mọ́. ",Some people can be relied upon to find the sad aspect of the most fortunate event. 
Ìbéèrè kì í jẹ́ kí ẹni ó ṣìnà; ẹni tí kò lè béèrè ní ń pón ara rẹ̀ lójú.,One should not be too obstinate or too proud to seek help when one needs it.
Ibi tí a bá ń gbé la ti ń gbàwìn; à-rà-àì-san ni ò sunwọ̀n. ,There is nothing wrong in seeking favors from those close to one; what is bad is not returning favors.
Ibi tí a gbé epo sí a kì í sọ òkò síbẹ̀. ,One should always protect one’s base or where one’s best interests lie.
Ibi tí à ń gbé là ń ṣe; bí a bá dé ìlú adẹ́tẹ̀ à di ìkúùkù. ,"While in Rome, do as the Romans do."
"Ibi tí a ti gùn, ibẹ̀ la ti ń rọ̀. ","One must not shift the problems originating in one context to another, unrelated context."
"Ibi tí a ti ń jẹun bí ikun bí ikun, a kì í sọ̀rọ̀ bíi kẹ̀lẹ̀bẹ̀ bíi kẹ̀lẹ̀bẹ̀ níbẹ̀. ",One must be careful not to bring up matters that are too sensitive for present company.
Ibi tí o máa sùn lo tẹ́ ọmọ sí.,Said of a person deceiving himself or herself in the futile hope that a transparent ruse will work to his or her advantage.
Ibi tí òjò-ó ti ńpa igún bọ̀-ọ́ jìnnà; ta ní rán igún níṣẹ́? ,"If one’s choices land one in difficulty, one should not blame others."
Ibi tí òjò-ó bá ọjọ́ ní ń pa á sí. ,One should do what one has to do as the opportunities present themselves.
"Ibi tí oníyọ̀nmọ̀ntìí ṣubú sí, ibẹ̀ ló ti tà á tán. ",It makes no sense to dwell on unrecoverable disasters.
"Ibi tí oyín gbé ń hó, tí àdó ń hó, ìfun ò dákẹ́ lásán. ","No matter what other people’s preoccupations are, one should not ignore one’s own problems."
Ìdí òwò ni òwòó gbé tà. ,One would be wise to protect one’s base.
"Igún ṣoore ó pá lórí, àkàlà-á ṣoore ó yọ gẹ̀gẹ̀; nítorí ọjọ́ mìíràn kẹni ó má ṣe oore bẹ́ẹ̀ mọ́. ","In the future, one should not do those kinds of favors."
Igúnnugún ò torí abẹ párí. ,One’s actions are not determined by one’s fear of any person.
Ìgbà ara là ń búra. ,Everything in its proper time.
"Igbá là ń pa, a kì í pa àwo. ",What is appropriate treatment for one thing may be inappropriate for another.
"Ìgbà òjò ń lọ, ìgbà ẹ̀rùn ń lọ, a ní ká dí isà eku kó le; ìgbà wo la óò tó wá peku náà? ",One must do what needs to be done while there is still time rather than resort to transparent temporizing ruses.
Ìgbà tí a bá dóko làárọ̀ ẹni. ,People must not be slaves of time but use time to their own advantage. 
Ìgbà tí a bá rẹ́ni lòwúrọ̀ ẹni. ,One does what one has to do when it is convenient to do it. 
Igbá tó gbédè là ń pè lóṣùwọ̀n. ,One places one’s confidence only in those of the same mind.
Ìgbín ìbá má mọ̀-ọ́ jẹ̀ ìbá ti kú síjù. ,"However disadvantaged one might be, one could still thrive if one took life easy. "
Ìgbín ìbá má mọ̀-ọ́ jẹ̀ kò tó okòó. ,"With caution, one can offset the effects of any handicap"
"Ìgbín kì í pilẹ̀ aró, àfè ìmòjò kì í pilẹ̀ àràn. ",One should stick to habits that are proper for oneself.
Igbó lẹranko ń gbé. ,Everything in its proper place.
Ìgbọ̀nwọ́ ti kékeré yọké. ,Said of a precocious person.
Ìjà ní ń pa onítìjú; ogun ní ń pa alágbára. ,One should not court danger or disaster simply to avoid losing face.
"Ijó ní ń bọ́ṣọ, ìjà ní ń bọ́ ẹ̀wù.",Different situations call for different responses.
Ikúdú pa ẹṣin à ń yọ̀; ó ń bọ̀ wá pa ọmọ èèyàn. ,We should take other people’s misfortunes as a reminder that we are not immune to such misfortunes.
Ilé ajá là ń wá ìwo lọ? ,One should not bark up the wrong tree.
Ilé olóńjẹ là ń dẹ̀bìtì àyà sí. ,People usually position themselves where they imagine there is something to gain.
Ilẹ̀ nìjòkò ń jókòó de ìdí. ,"One should maintain one’s place and not, for example, go out of the house to receive a visitor."
"Ìlẹ̀kẹ̀ àmúyọ, a kì í sin kádìí tán. ",One should not deploy all one’s resources at once.
Ìloro là ń wọ̀ ká tó wọlé. ,Everything in its proper order.
"Ìlọ-ọ́ yá; oníbodè Atàdí, wọ́n kó o nílé, wọ́n gbà á lóbìnrin, ọ̀pẹ̀lẹ̀ tó ní òun ó fi wádìí ọ̀ràn, ajá gbé e, ọmọ ẹ̀ tó lé ajá láti gba ọ̀pẹ̀lẹ̀, ó yí sí kàǹga; oníbodè Atàdí wá dáhùn ó ní, ‘‘Ìlọ-ọ́ yá.’’ It is time to get out of here; the gatekeeper of Atadi, his home was burglarized; his wife was ","When a place becomes too hot for a person, he or she should know it is time to get out."
Iná èsìsì kì í jóni lẹ́ẹ̀mejì. ,One should learn a lesson from the first bad experience.
Iná kúkú ni yó ba ọbẹ̀ ará oko jẹ́ . ,An ignorant person’s ignorance will ruin whatever venture he or she embarks on.
Iná tó ń lérí omi á kù sọnù. ,It is foolhardy to take on a power one is no match for.
Ìpàṣán tí a fi na ìyálé ń bẹ láàjà fún ìyàwó. ,Do not assume that the misfortune that befell those who went before will pass you over.
Ìròrẹ́ ò le-è jà ó múlé ti agbọ́n. ,"If one is weak, one should befriend the strong."
"Isó inú ẹ̀kú, à-rá-mọ́ra. ","The insult one cannot escape from, one has to endure."
"Ìṣeǹṣe ewúrẹ́, kágùntàn fiyè sí i. ",One should learn from the fates of others.
"Iṣú ta iṣu ò ta, ọ̀kọ̀ọ̀kan là ń wúṣu lébè. ",There is no task so small or insignificant that it does not deserve care and attention.
"Ìtórò tó so lóko tí kò fẹ̀hìntì, afẹ́fẹ́ oko ní ń tú u. ",A weak person who has no support will fall victim to puny forces.
Ìwò-o ọlọgbọ́n ò jọ ti aṣiwèrè. ,A wise person considers matters in a more rational way than an imbecile does.
Ìyàwó mi ò sunwọ̀; nítorí ọmọ ni mo ṣe fẹ́ ẹ; ẹni mélòó la ó wìí fún tán? ,One should not embark on the endless and futile task of justifying one’s decisions to others.
Ìyàwó sọ ọ̀rọ̀ kan tán: ó ní ìyálé òun a-bẹnu-funfun-bí-ègbodò. ,Said of people who have done the unthinkable. 
Ìyàwó ṣe ọ̀ràn kan tán; ọkọ ẹ̀-ẹ́ ṣe ọ̀ràn-an n kò-jẹ-mọ́. ,Said of people who have caused unpardonable offense. 
‘‘Já ilé ẹ kí n bá ẹ kọ́ ọ’’; ìt èèkàn kan ní ń fúnni. ,One relies on other people’s promise of help only at one’s own risk.
"Jùrù-fẹ̀fẹ̀ jùrù-fẹ̀fẹ̀, ewúrẹ́ wọ ilé àpọn jùrù-fẹ̀fẹ̀; kí làpọ́n rí jẹ tí yó kù sílẹ̀ féwúrẹ́ ? ",One wastes time expecting largesse from a destitute person.
"Kàkà kí ọmọdé pàgbà láyò, àgbà a fi ọgbọ́n àgbà gbé e.",An elder should save face and protect his standing by all means available.
Kékeré egbò ní ń gba ewé iyá; àgbà egbò ní ń gba ẹ̀gbẹ̀sì; tilé-wà-tọ̀nà-wá egbò ní ń gba ìgàn aṣọ. ,Remedies must fit the complaint.
Kéré-kéré leku ń jawọ; díẹ̀-díẹ̀ leèrà ń bọ̀ ìyẹ́ . ,Use caution in all enterprises.
Kì í jẹ́ kí etí ẹni di kì í jẹ́ kí inú ẹni dùn. ,Learn to turn a deaf ear to certain things for the sake of your peace of mind.
Kì í ṣe gbogbo ẹni tí ń ṣe ‘‘Ẹni Ọlọ́run bùn ó bùn mi’’ là ń fún ní nǹkan. ,One should be judicious as to those to whom one shows kindness.
Kí ni à ń wọ̀ nínú-u ṣòkòtò m ta ọ̀ọ́dúnrún? ,Much ado about a worthless thing.
Kí ni fìlà yó ṣe lórí ògógó? Ata ni yó ṣi. ,Superfluous adornments make no sense when one goes to battle or engages in strenuous work.
Kí ni ìyá aláṣọ ń tà tó yọ ẹgba lọ́wọ́? Ewúrẹ́ ń jẹ wúlìnì? ,One should not engage in meaningless or unnecessary activities.
"Kíkọ́ ni mímọ̀, òwe àjàpá. ","To know, one must learn."
Kò sí aláásáà tí ń ta ìgbokú; gbogbo wọn ní ń ta oyin. ,Everybody presents himself or herself in the best light.
Kò sí alámàlà tí ń sọ pé tòun ò yi; aládàlú nìkan ló sòótọ́. ,One puts the best face on one’s own affairs. 
Kò sí ẹni tí kò mọ ọgbọ́n-ọn ká fẹran sẹ́nu ká wá a tì. ,Nobody is a complete fool.
"Kókó ló kọ́kọ́ dé orí, tàbí orí ló kọ́kọ́ dé kókó? ",A chastisement for someone attempting to reverse the order of precedence.
Kóńkólóyo: èyí tó ní tèmi.,"However small it is [usually a child], one is glad to have it."
Kóró-kóró là ń dá Ifá adití. ,"One should match one’s actions to the circumstances. Or, one should err on the side of repetitiousness in cautioning an obstinate person."
"‘‘Kùbẹ̀rẹ̀, ká roko ìpére.’’ Ó ní èyí tí òún lọ òun òì bọ̀. ‘","When one has not recovered from the consequences of a venture, one is not ready to embark on another.)"
"Lójú òpè, bí-i kọ́lọgbọ́n dàbí ọ̀lẹ. ",The worthless person always wishes others were equally worthless.
‘‘Máa jẹ́ ǹ ṣó’’ lọ̀yá fi ń ju ẹmọ́ lọ. ,Excessive consideration for others can be disadvantageous.
"‘‘Màá kó ẹrú, màá kó ẹrù’’ là ń bá lọ sógun; ọ̀nà lẹnìkẹta ń báni. ",Too often one is so preoccupied with the good aspects of a proposition that the bad aspects sneak up on one.
"Màjèṣín dóbò àkọ́kọ́, ó sáré yọ okó síta, ó ní Olúwa-á ṣeun. ",A novice knows not how to relish good things.
Mójú-kúrò nilé ayé gbà; gbogbo ọ̀rọ̀ kọ́ ló ṣéé bínú sí. ,The best way to live is to ignore petty annoyances.
"Ní ìlú tí a ò ti f ẹyẹlé, adìẹ yóò ṣọ̀wọ́n níbẹ̀. ",Onerous things will not be countenanced where easy obligations are not.
"Ní ìlú tí a ò ti f ẹyẹlé, tí a ò f adìẹ, irú ẹyẹ wo ní yóò jí wọn lójú orun? ",A person who will not be pleased by anything will simply have to do without everything. 
Ní inú Ifá ni Fá-túmọ̀-ọ́ wà.,Every problem bears the seeds to its own solution.
‘‘Níbo ló gbé wà?’’ nìyájú ẹkùn. ,One should be smart enough to hide one’s ignorance about things one should know.
Nígbà tí ọwọ́ ò tí ì gbọ́n lojú ń ṣepin. ,A wise person will know how to manage and conceal his shortcomings.
Nítorí adití lòjó fi ń ṣú; nítorí afọ́jú ló ṣe ń kù. ,The wise person should be able to read portents and take precautions.
Nítorí èèyàn la ṣe ń ní ọwọ́ ọ̀tún; òsì là bá lò. ,One must learn the grace that is appropriate for decent company.
Nítorí-i ká lè ríbi gbé e la ṣe ń ṣe ọyàn sódó. ,One should anticipate problems and prepare solutions for them.
"Ó di kan-nu-rin kan-nu-rin, agogo Ògúntólú. ",The statements being made are senseless.
O fẹ́ joyè o ní o-ò ní-í jà. ,It is self-deceit to wish for something without being prepared for the struggle that getting it demands.
O fi awọ ẹkùn ṣẹbọ àìkú; ẹkùn ìbá má kùú ìwọ ìbá rawọ ẹ̀ ṣoògùn? ,One should not chase impossible dreams.
O jó nÍfọ́n Ifọ́n tú; o jó lÉjìgbò Èjìgbó fàya bí aṣọ; o wá dé Ìlá ràngún ò ńkàndí; gbogbo ìlú òrìṣà ni wọ́n ní kí o máa bàj kiri? ,A person who has the reputation for causing disasters should not be given freedom of action anywhere.
"O kò bá ìṣín máwo, o ò bá ìrókò mulẹ̀; abẹ́rẹ́ ẹ-ẹ́ bọ́ sómi o ní o ó yọ ọ́. ","Unless one has superhuman powers, one should not attempt the impossible. "
"O kò bá òkun máwo, o ò bá ọ̀sà mulẹ̀; abẹ́rẹ́ ẹ-ẹ́ bọ́ sódò o ní o ó yọ ọ́. ","Unless one has extraordinary means, one should not attempt the impossible. "
"O kò bá Ọya máwo, o ò bá Ògún mulẹ̀; abẹ́rẹ́ ẹ-ẹ́ bọ́ sódò o ní o ó yọ ọ́. ",One should not embark on missions for which one has not made adequate preparations. 
"O kò lu òmìrán lóru, ò ń lù ú lọ́sàn-án.",One should court trouble only if and when one has some cover.
O kò wọ bàtà nínú ẹ̀gún ò ń sáré; o lágbára màlúù? ,"Unless one is well fortified, one should not court danger."
"O kò-ì mú ẹrú, o ní Àdó ni ò ó tà á fún. ",One should not use a commodity before one has it.
"O ló-o fẹ́ jọba o ní o-ò nìí ṣÒgbóni, o-ò níí pẹ́ lóyè. ",Whoever wishes to prosper must observe the conditions for prosperity.
"Ò ń bẹ oníṣègùn, o ò bẹ asínwín; bí oníṣègùn-ún ṣe tí asínwín ò gbà ńkọ́? ","When two steps are required to accomplish a purpose, one should not take one and slight the other."
"‘‘Ó ń bọ̀, ó ń bọ̀!’’ la fi ń dẹ́rù ba ọmọdé; bó bá dé tán ẹ̀rù a tán. ",Looming problems often cause consternation out of all proportion to their real damaging force. 
"O ní kí ará ọ̀run ṣe oore fún ọ, bẹ́ẹ̀ni o rí ẹni tí eégún ń lé, tó fá lọ́bẹ̀ lá. ",One should not expect to receive better treatment from a person who is known to be vicious to others.
Ó ń ti ilé bọ̀ kò ra ẹ̀gbẹ; ó dé oko tán ó ní ẹ̀gbẹ ni oníkú ẹ̀kọ. ,One should make provisions against one’s future needs.
"O rí etí adẹ́tẹ̀ o fi san okòó; kò nípọn tó ni, tàbí kò rẹ̀ dẹ̀dẹ̀ tọ́? Y",Said of someone who applies the wrong value to things.
O rí ẹsẹ̀-ẹ wèrè o ò bù ú ṣoògùn; níbo lo ti máa rí tọlọgbọ́n? ,"One should take advantage of the weak and vulnerable, because one will not be able to take advantage of the strong."
"O rojọ́ láàárọ̀ o ò jàre, ó dal o ní kọ́ba dúró gbọ́ tẹnu ẹ; ohun tó o wí láàárọ̀ náà kọ́ lo máa wí lálẹ́ ? ",Repeated stating will not make a bad case a good one.
"O sá fún ikú, o bọ́ sí àkọ̀ idà. ",Said of a person who has got into a worse predicament than the one he or she was fleeing from.
‘‘Ó ṣe mí rí’’; ògbó adìẹ rí àwòdì sá.,One learns to run from danger once one has recognized it as such.
Ó ti ojú orun wá ó ń fọ ẹnà; ó ní ‘‘ẹ jẹ́ ká máa ji ní mẹ́mu-mẹ́mu.’,An ignorant person will always make stupid suggestions. 
"O wà láyé, mo wà láàye, ò ń bi mí bí ọ̀rún ṣe rí. ",Said of a person seeking information from someone in no better position to know than the seeker.
Ó yẹ kí eégún mọ ẹni tó mú àgbò so. ,One should acknowledge those who have done one some favor.
Obìnrin ò gbé ibi tó máa rọ̀ ọ́ lọ́rùn. ,Women seldom know until it is too late which home would best suit them.
Òbò ò ṣéé ṣe àlejò. ,Good things are not good for all purposes
"Odídẹrẹ́ dawo, ìkó ìdí ẹ̀-ẹ́ dọ̀gbẹ̀rì. ","The person being propped up achieves great glory, but his backer loses his standing."
"Odó iyán ò jẹ́ gún ẹ̀lú; odó ẹ̀lú ò jẹ́ gúnyán; àtẹ tá-a fi ń pàtẹ ìlẹ̀kẹ̀, a ò j fi pàtẹ ọ̀rúnlá. ",Each object has its proper uses.
Òdú kì í ṣe àìmọ̀ olóko. ,An indication that a matter under discussion is not such a secret after all.
Ogún kì í pọ̀ ká pín fún aládùúgbò. ,"However abundantly one is blessed, one should manage one’s resources wisely."
Ogún n bókòó? Òwe aṣiwèrè. ,Trust an imbecile to pose stupid questions.
"Ohùn àgbà: bí kò ta ìgún, a ta èbù. ",There is some value in whatever comes out of an elder’s mouth.
Ohun tí a bá pàdé ò jọ ohun tí a rí tẹ́lẹ̀. ,No new friend or find can be as valuable as the one you have had for some time.
Ohun tí a ni la fi ń kẹ́ ọmọ ẹni.,One should not go beyond one’s means simply to make a good impression on others.
Ohun tí a ò rí rí lèèwọ̀ ojú.,Whatever one has encountered before cannot be too much to accommodate.
"Ohun tí a ṣe nílé àna ẹni, ‘‘Ojú ń tì mí’’ kúrò níbẹ̀. ",One must not be reticent in doing whatever one must do.
Ohun tí kò jẹ́ káṣọ pé méjì ni ò jẹ́ kó dú. ,Misfortune teaches fortitude; scarcity teaches thrift. 
Ohun tí kò jẹ́ kí oko pọ̀ ni ò j kó mọ́. ,A basic defect will manifest itself in sundry ways. 
Ohun tó fọ́ni lójú ló ń júwe ọ̀nà fúnni. ,Misfortune teaches those it afflicts how to cope with it. 
Ohun tó jọ oun la fi ń wé ohun; èpo ẹ̀pà ló jọ ìtẹ́ ẹ̀lírí. ,One should observe propriety in dealing with respectable people.
"Ohun tó ní òun óò bẹ́ni lórí, bó bá ṣíni ní fìlà, ká dúpẹ́ . ","If misfortune turns out to be far milder than expected, one should give thanks. "
"Ohun tó ní òun óò ṣeni lẹ́rú, tó wá ṣeni níwọ̀fà, ká gbà á. ",One should gratefully accept a fate that turns out more merciful than it might have been. 
"Ohun-a-lè-ṣe, tó forí sọ àpò òwú; wọ́n ní ṣe bó rí yangí nílẹ̀, ó ní ‘‘Ohun a bá lè ṣe là ń lérí sí.",Attempt only feats that will cause no headache.
Òjò òì dá a ní kò tó tàná. ,One should not arrive at conclusions until one has all the facts.
